"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Hoonah-Angoon Census Area, AK"	"02105"	"5-14 years"	"5-14"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
	"Hoonah-Angoon Census Area, AK"	"02105"	"5-14 years"	"5-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Hoonah-Angoon Census Area, AK"	"02105"	"5-14 years"	"5-14"	"Female"	"F"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Hoonah-Angoon Census Area, AK"	"02105"	"5-14 years"	"5-14"	"Female"	"F"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Hoonah-Angoon Census Area, AK"	"02105"	"5-14 years"	"5-14"	"Female"	"F"			Missing	Missing	Missing	Missing
	"Hoonah-Angoon Census Area, AK"	"02105"	"5-14 years"	"5-14"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
	"Hoonah-Angoon Census Area, AK"	"02105"	"5-14 years"	"5-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Hoonah-Angoon Census Area, AK"	"02105"	"5-14 years"	"5-14"	"Male"	"M"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Hoonah-Angoon Census Area, AK"	"02105"	"5-14 years"	"5-14"	"Male"	"M"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Hoonah-Angoon Census Area, AK"	"02105"	"5-14 years"	"5-14"	"Male"	"M"			Missing	Missing	Missing	Missing
"Total"	"Hoonah-Angoon Census Area, AK"	"02105"	"5-14 years"	"5-14"					Missing	Missing	Missing	Missing
"Total"	"Hoonah-Angoon Census Area, AK"	"02105"							Missing	Missing	Missing	Missing
	"Petersburg Borough/Census Area, AK"	"02195"	"5-14 years"	"5-14"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
	"Petersburg Borough/Census Area, AK"	"02195"	"5-14 years"	"5-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Petersburg Borough/Census Area, AK"	"02195"	"5-14 years"	"5-14"	"Female"	"F"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Petersburg Borough/Census Area, AK"	"02195"	"5-14 years"	"5-14"	"Female"	"F"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Petersburg Borough/Census Area, AK"	"02195"	"5-14 years"	"5-14"	"Female"	"F"			Missing	Missing	Missing	Missing
	"Petersburg Borough/Census Area, AK"	"02195"	"5-14 years"	"5-14"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
	"Petersburg Borough/Census Area, AK"	"02195"	"5-14 years"	"5-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Petersburg Borough/Census Area, AK"	"02195"	"5-14 years"	"5-14"	"Male"	"M"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Petersburg Borough/Census Area, AK"	"02195"	"5-14 years"	"5-14"	"Male"	"M"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Petersburg Borough/Census Area, AK"	"02195"	"5-14 years"	"5-14"	"Male"	"M"			Missing	Missing	Missing	Missing
"Total"	"Petersburg Borough/Census Area, AK"	"02195"	"5-14 years"	"5-14"					Missing	Missing	Missing	Missing
"Total"	"Petersburg Borough/Census Area, AK"	"02195"							Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"5-14 years"	"5-14"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"5-14 years"	"5-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"5-14 years"	"5-14"	"Female"	"F"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"5-14 years"	"5-14"	"Female"	"F"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Prince of Wales-Hyder Census Area, AK"	"02198"	"5-14 years"	"5-14"	"Female"	"F"			Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"5-14 years"	"5-14"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"5-14 years"	"5-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"5-14 years"	"5-14"	"Male"	"M"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"5-14 years"	"5-14"	"Male"	"M"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Prince of Wales-Hyder Census Area, AK"	"02198"	"5-14 years"	"5-14"	"Male"	"M"			Missing	Missing	Missing	Missing
"Total"	"Prince of Wales-Hyder Census Area, AK"	"02198"	"5-14 years"	"5-14"					Missing	Missing	Missing	Missing
"Total"	"Prince of Wales-Hyder Census Area, AK"	"02198"							Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	"5-14 years"	"5-14"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	"5-14 years"	"5-14"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	"5-14 years"	"5-14"	"Female"	"F"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	"5-14 years"	"5-14"	"Female"	"F"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Skagway Municipality, AK"	"02230"	"5-14 years"	"5-14"	"Female"	"F"			Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	"5-14 years"	"5-14"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	"5-14 years"	"5-14"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	"5-14 years"	"5-14"	"Male"	"M"	"Black or African American"	"2054-5"	Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	"5-14 years"	"5-14"	"Male"	"M"	"White"	"2106-3"	Missing	Missing	Missing	Missing
"Total"	"Skagway Municipality, AK"	"02230"	"5-14 years"	"5-14"	"Male"	"M"			Missing	Missing	Missing	Missing
"Total"	"Skagway Municipality, AK"	"02230"	"5-14 years"	"5-14"					Missing	Missing	Missing	Missing
"Total"	"Skagway Municipality, AK"	"02230"							Missing	Missing	Missing	Missing
	"Wrangell City and Borough, AK"	"02275"	"5-14 years"	"5-14"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Missing	Missing	Missing	Missing
