FIPS,State FIPS,County,State,State Abbreviation,Provider Count,Opioid Claim Count,Total Claim Count,Percent Opioid Claims,State Average Opioid Claims
1001,1,Autauga,Alabama,AL,71,21601,225760,9.57,7.41
1003,1,Baldwin,Alabama,AL,440,91139,1021925,8.92,7.41
1005,1,Barbour,Alabama,AL,33,8652,142312,6.08,7.41
1007,1,Bibb,Alabama,AL,31,9244,142508,6.49,7.41
1009,1,Blount,Alabama,AL,187,47353,760785,6.22,7.41
1011,1,Bullock,Alabama,AL,10,1619,45452,3.56,7.41
1013,1,Butler,Alabama,AL,35,9136,116305,7.86,7.41
1015,1,Calhoun,Alabama,AL,288,60065,764335,7.86,7.41
1017,1,Chambers,Alabama,AL,213,41222,576414,7.15,7.41
1019,1,Cherokee,Alabama,AL,333,90215,952078,9.48,7.41
1021,1,Chilton,Alabama,AL,63,23116,331015,6.98,7.41
1023,1,Choctaw,Alabama,AL,16,7708,96473,7.99,7.41
1025,1,Clarke,Alabama,AL,36,10413,163633,6.36,7.41
1027,1,Clay,Alabama,AL,52,18736,235074,7.97,7.41
1029,1,Cleburne,Alabama,AL,186,38818,507982,7.64,7.41
1031,1,Coffee,Alabama,AL,128,31843,429679,7.41,7.41
1033,1,Colbert,Alabama,AL,214,52861,652676,8.10,7.41
1035,1,Conecuh,Alabama,AL,103,36691,480423,7.64,7.41
1037,1,Coosa,Alabama,AL,129,35859,507584,7.06,7.41
1039,1,Covington,Alabama,AL,85,26022,330726,7.87,7.41
1041,1,Crenshaw,Alabama,AL,68,21428,287396,7.46,7.41
1043,1,Cullman,Alabama,AL,289,77979,1072773,7.27,7.41
1045,1,Dale,Alabama,AL,250,47776,594473,8.04,7.41
1047,1,Dallas,Alabama,AL,90,22856,382365,5.98,7.41
1049,1,DeKalb,Alabama,AL,156,37409,593905,6.30,7.41
1051,1,Elmore,Alabama,AL,169,37584,585905,6.41,7.41
1053,1,Escambia,Alabama,AL,118,32198,411418,7.83,7.41
1055,1,Etowah,Alabama,AL,386,103401,1253487,8.25,7.41
1057,1,Fayette,Alabama,AL,46,20992,293266,7.16,7.41
1059,1,Franklin,Alabama,AL,79,36712,395261,9.29,7.41
1061,1,Geneva,Alabama,AL,391,64551,975933,6.61,7.41
