"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	6850	809412	846.29336	826.25179	866.33493
	"Baldwin County, AL"	"01003"	26226	2691941	974.24126	962.45010	986.03242
	"Barbour County, AL"	"01005"	4646	447151	1039.02261	1009.14530	1068.89992
	"Bibb County, AL"	"01007"	3612	352254	1025.39645	991.95585	1058.83704
	"Blount County, AL"	"01009"	8602	882399	974.84245	954.24133	995.44356
	"Bullock County, AL"	"01011"	2052	176526	1162.43500	1112.13869	1212.73130
	"Butler County, AL"	"01013"	4456	333469	1336.25614	1297.02119	1375.49110
	"Calhoun County, AL"	"01015"	21385	1844247	1159.55184	1144.01039	1175.09329
	"Chambers County, AL"	"01017"	7435	560966	1325.39227	1295.26498	1355.51956
	"Cherokee County, AL"	"01019"	4773	403503	1182.89083	1149.33214	1216.44953
	"Chilton County, AL"	"01021"	7146	675055	1058.58041	1034.03624	1083.12459
	"Choctaw County, AL"	"01023"	2714	232158	1169.03144	1125.04920	1213.01368
	"Clarke County, AL"	"01025"	4582	423842	1081.06323	1049.76068	1112.36577
	"Clay County, AL"	"01027"	2904	223956	1296.68328	1249.52134	1343.84522
	"Cleburne County, AL"	"01029"	2681	233787	1146.77035	1103.36092	1190.17978
	"Coffee County, AL"	"01031"	7573	755115	1002.89360	980.30564	1025.48156
	"Colbert County, AL"	"01033"	10400	872293	1192.25994	1169.34544	1215.17444
	"Conecuh County, AL"	"01035"	2744	214993	1276.32062	1228.56508	1324.07617
	"Coosa County, AL"	"01037"	2124	183479	1157.62567	1108.39373	1206.85761
	"Covington County, AL"	"01039"	8065	600157	1343.81504	1314.48630	1373.14377
	"Crenshaw County, AL"	"01041"	2868	221331	1295.79679	1248.37222	1343.22136
	"Cullman County, AL"	"01043"	14563	1266612	1149.76015	1131.08612	1168.43417
	"Dale County, AL"	"01045"	7321	792781	923.45805	902.30427	944.61184
	"Dallas County, AL"	"01047"	8710	709259	1228.04222	1202.25169	1253.83276
	"DeKalb County, AL"	"01049"	11395	1095847	1039.83494	1020.74242	1058.92746
	"Elmore County, AL"	"01051"	10279	1191264	862.86499	846.18394	879.54604
	"Escambia County, AL"	"01053"	6985	607932	1148.97719	1122.03181	1175.92257
	"Etowah County, AL"	"01055"	21625	1659157	1303.37274	1286.00086	1320.74461
	"Fayette County, AL"	"01057"	3709	283213	1309.61502	1267.46757	1351.76247
	"Franklin County, AL"	"01059"	6218	500745	1241.74979	1210.88490	1272.61469
	"Geneva County, AL"	"01061"	5196	419789	1237.76469	1204.10891	1271.42046
	"Greene County, AL"	"01063"	1747	150329	1162.11776	1107.62237	1216.61314
	"Hale County, AL"	"01065"	3044	262203	1160.93256	1119.69046	1202.17466
	"Henry County, AL"	"01067"	3372	270171	1248.09843	1205.97137	1290.22548
	"Houston County, AL"	"01069"	15039	1542725	974.83349	959.25315	990.41384
	"Jackson County, AL"	"01071"	10011	854637	1171.37451	1148.42819	1194.32084
	"Jefferson County, AL"	"01073"	113386	10534747	1076.30492	1070.04005	1082.56978
	"Lamar County, AL"	"01075"	3097	238874	1296.49941	1250.83711	1342.16171
	"Lauderdale County, AL"	"01077"	15818	1447221	1092.99133	1075.95810	1110.02456
	"Lawrence County, AL"	"01079"	5926	548339	1080.71831	1053.20216	1108.23447
	"Lee County, AL"	"01081"	13644	2102110	649.06213	638.17104	659.95323
	"Limestone County, AL"	"01083"	10055	1219955	824.21073	808.10044	840.32102
	"Lowndes County, AL"	"01085"	2196	193392	1135.51750	1088.02405	1183.01095
	"Macon County, AL"	"01087"	4181	353099	1184.08718	1148.19502	1219.97935
	"Madison County, AL"	"01089"	39111	5002423	781.84112	774.09249	789.58975
	"Marengo County, AL"	"01091"	4053	342741	1182.52558	1146.11913	1218.93203
	"Marion County, AL"	"01093"	6328	490990	1288.82462	1257.06929	1320.57995
	"Marshall County, AL"	"01095"	15987	1418568	1126.98158	1109.51172	1144.45143
	"Mobile County, AL"	"01097"	64732	6491355	997.20320	989.52110	1004.88531
	"Monroe County, AL"	"01099"	4129	374474	1102.61327	1068.98094	1136.24559
	"Montgomery County, AL"	"01101"	32779	3617220	906.19315	896.38293	916.00338
	"Morgan County, AL"	"01103"	18167	1852818	980.50645	966.24824	994.76466
	"Perry County, AL"	"01105"	2333	174245	1338.91934	1284.58766	1393.25102
	"Pickens County, AL"	"01107"	4074	322940	1261.53465	1222.79598	1300.27332
	"Pike County, AL"	"01109"	5071	503531	1007.08794	979.36900	1034.80689
	"Randolph County, AL"	"01111"	4463	361731	1233.78975	1197.59182	1269.98768
	"Russell County, AL"	"01113"	8939	836804	1068.23103	1046.08597	1090.37609
	"St. Clair County, AL"	"01115"	11781	1219161	966.32028	948.87066	983.76991
	"Shelby County, AL"	"01117"	17514	2832652	618.28986	609.13281	627.44691
	"Sumter County, AL"	"01119"	2500	224384	1114.16144	1070.48631	1157.83657
	"Talladega County, AL"	"01121"	14643	1303672	1123.21197	1105.01904	1141.40491
	"Tallapoosa County, AL"	"01123"	8384	661164	1268.06662	1240.92271	1295.21054
	"Tuscaloosa County, AL"	"01125"	24894	2921921	851.97375	841.39012	862.55739
	"Walker County, AL"	"01127"	15174	1090345	1391.66961	1369.52632	1413.81290
	"Washington County, AL"	"01129"	2879	281259	1023.61169	986.22040	1061.00298
	"Wilcox County, AL"	"01131"	2376	194925	1218.93036	1169.91731	1267.94341
	"Winston County, AL"	"01133"	4788	392794	1218.95956	1184.43180	1253.48731
	"Aleutians East Borough, AK"	"02013"	105	46813	224.29667	181.39401	267.19933
	"Aleutians West Census Area, AK"	"02016"	208	89181	233.23354	201.53674	264.93033
	"Anchorage Borough, AK"	"02020"	21077	4489754	469.44666	463.10886	475.78445
	"Bethel Census Area, AK"	"02050"	1507	269181	559.84635	531.58009	588.11261
	"Bristol Bay Borough, AK"	"02060"	106	17526	604.81570	489.67571	719.95569
	"Denali Borough, AK"	"02068"	78	22140	352.30352	278.48184	439.69241
	"Dillingham Census Area, AK"	"02070"	469	78117	600.38148	546.04432	654.71864
	"Fairbanks North Star Borough, AK"	"02090"	6104	1474216	414.05059	403.66330	424.43788
	"Haines Borough, AK"	"02100"	288	38644	745.26447	659.19081	831.33812
	"Hoonah-Angoon Census Area, AK"	"02105"	20	2082	960.61479	586.77233	1483.59270
	"Juneau Borough, AK"	"02110"	2417	500266	483.14297	463.88132	502.40461
	"Kenai Peninsula Borough, AK"	"02122"	5294	851360	621.82860	605.07783	638.57937
	"Ketchikan Gateway Borough, AK"	"02130"	1470	217469	675.95841	641.40290	710.51393
	"Kodiak Island Borough, AK"	"02150"	897	217556	412.30764	385.32520	439.29008
	"Lake and Peninsula Borough, AK"	"02164"	216	26618	811.48095	703.26095	919.70095
	"Matanuska-Susitna Borough, AK"	"02170"	6425	1254577	512.12480	499.60218	524.64743
	"Nome Census Area, AK"	"02180"	1036	150624	687.80540	645.92201	729.68878
	"North Slope Borough, AK"	"02185"	638	136976	465.77503	429.63221	501.91784
	"Northwest Arctic Borough, AK"	"02188"	674	119255	565.17546	522.50676	607.84417
	"Petersburg Borough/Census Area, AK"	"02195"	18	3160	Unreliable	337.59114	900.24494
	"Prince of Wales-Hyder Census Area, AK"	"02198"	45	6396	703.56473	513.18715	941.42589
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	458	85493	535.71637	486.65291	584.77984
	"Sitka Borough, AK"	"02220"	906	142381	636.32086	594.88578	677.75593
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	258	48560	531.30148	466.46981	596.13316
	"Southeast Fairbanks Census Area, AK"	"02240"	608	104886	579.67698	533.59933	625.75463
	"Valdez-Cordova Census Area, AK"	"02261"	842	157071	536.06331	499.85434	572.27227
	"Wade Hampton Census Area, AK"	"02270"	770	118397	650.35432	604.41752	696.29112
	"Wrangell City and Borough, AK"	"02275"	21	2364	888.32487	549.89086	1357.90228
	"Wrangell-Petersburg Census Area, AK"	"02280"	729	94972	767.59466	711.87297	823.31635
	"Yakutat Borough, AK"	"02282"	58	10945	529.92234	402.39123	685.04651
	"Yukon-Koyukuk Census Area, AK"	"02290"	824	102606	803.07195	748.23832	857.90557
	"Apache County, AZ"	"04001"	8603	1119919	768.18056	751.94772	784.41339
	"Cochise County, AZ"	"04003"	18344	2010783	912.28143	899.07949	925.48338
	"Coconino County, AZ"	"04005"	10357	2049873	505.25081	495.52007	514.98156
	"Gila County, AZ"	"04007"	10623	838340	1267.14698	1243.05018	1291.24379
	"Graham County, AZ"	"04009"	4433	562262	788.42248	765.21296	811.63200
	"Greenlee County, AZ"	"04011"	937	133452	702.12511	657.16775	747.08247
	"La Paz County, AZ"	"04012"	3640	322227	1129.63842	1092.94022	1166.33663
	"Maricopa County, AZ"	"04013"	396776	57459638	690.52993	688.38128	692.67858
