Age ,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
12-17,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1
18-25,0.4,0.3,0.4,0.5,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.7,0.8
26 or Older ,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3
sd Total,0.02,0.02,,,,,,,,,,,
sd 12-17,0.04,0.03,,,,,,,,,,,
sd 18-25,0.05,0.04,,,,,,,,,,,
sd 26 or Older ,0.03,0.02,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
