County,Mean Annual Frequency,"Crude Rate / 100,000 Residents","Age-Adjusted Rate / 100,000 Residents",,,
Albany 6 1.9 1.9,,,,,,
Allegany * * *,,,,,,
Bronx 41 2.9 3.0,,,,,,
Broome 3 1.6** 1.8**,,,,,,
Cattaraugus * * *,,,,,,
Cayuga 1 1.5** 1.8**,,,,,,
Chautauqua 2 1.3** 1.5**,,,,,,
Chemung * * *,,,,,,
Chenango * * *,,,,,,
Clinton * * *,,,,,,
Columbia 1 2.3** 2.2**,,,,,,
Cortland * * *,,,,,,
Delaware * * *,,,,,,
Dutchess 13 4.3 4.6,,,,,,
Erie 15 1.6 1.7,,,,,,
Essex * * *,,,,,,
Franklin * * *,,,,,,
Fulton * * *,,,,,,
Genesee * * *,,,,,,
Greene 3 5.3** 5.6**,,,,,,
Hamilton * * *,,,,,,
Herkimer * * *,,,,,,
Jefferson 2 1.3** 1.4**,,,,,,
Kings 29 1.1 1.1,,,,,,
Lewis * * *,,,,,,
Livingston * * *,,,,,,
Madison * * *,,,,,,
Monroe 15 2.0 2.0,,,,,,
Montgomery * * *,,,,,,
Nassau 24 1.7 1.9,,,,,,
New York 30 1.9 1.7,,,,,,
Niagara 2 1.1** 1.3**,,,,,,
Oneida 4 1.5** 1.6**,,,,,,
Onondaga 10 2.1 2.2,,,,,,
Ontario * * *,,,,,,
Orange 7 1.8 2.0,,,,,,
Orleans * * *,,,,,,
Oswego 1 1.2** 1.2**,,,,,,
Otsego * * *,,,,,,
Putnam 2 2.4** 3.1**,,,,,,
Queens 33 1.4 1.4,,,,,,
Rensselaer 3 1.8** 1.7**,,,,,,
Richmond 11 2.3 2.3,,,,,,
Rockland 3 1** 1.2**,,,,,,
St. Lawrence * * *,,,,,,
Saratoga 2 1.1** 1.2**,,,,,,
Schenectady 1 0.8** 0.9**,,,,,,
Schoharie * * *,,,,,,
Schuyler * * *,,,,,,
Seneca * * *,,,,,,
Steuben * * *,,,,,,
Suffolk 64 4.2 4.6,,,,,,
Sullivan 2 3.1** 3.6**,,,,,,
Tioga * * *,,,,,,
Tompkins * * *,,,,,,
Ulster 4 2.3 2.6,,,,,,
Warren * * *,,,,,,
Washington * * *,,,,,,
Wayne 1 1.3** 1.5**,,,,,,
Westchester 21 2.2 2.3,,,,,,
Wyoming * * *,,,,,,
Yates * * *,,,,,,
New York City 144 1.7 1.6,,,,,,
Rest of State 223 2.0 2.1,,,,,,
Statewide 368 1.9 1.9,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
