State,Significant,Change
AL,Yes,19.7
AK,No,16.7
AZ,No,-2.7
AR,No,13.5
CA,No,0
CO,No,5.2
CT,No,10
DE,No,11.8
DC,No,-5.3
FL,No,4.8
GA,Yes,10.2
HI,No,-0.9
ID,No,2.2
IL,Yes,8.3
IN,Yes,9.6
IA,No,-5.4
KS,No,-2.5
KY,No,4.2
LA,No,-5.1
ME,Yes,27.3
MD,Yes,19.2
MA,Yes,18.8
MI,Yes,13.2
MN,No,0
MS,No,7.4
MO,No,4
MT,No,-14.5
NE,No,10.8
NV,No,-12.8
NH,Yes,73.5
NJ,No,-3.4
NM,Yes,20.8
NY,No,0
NC,No,7
ND,Yes,125
OH,Yes,18.3
OK,No,-1.5
OR,No,13.3
PA,Yes,12.9
RI,No,4.5
SC,No,10.8
SD,No,13
TN,No,7.7
TX,No,4.3
UT,No,1.4
VT,No,-7.9
VA,Yes,14.7
WA,No,-0.7
WV,No,10.2
WI,No,0.7
WY,No,12.8
