,Notes,County,County Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Hispanic Origin,Hispanic Origin Code,Deaths,Population,Crude Rate,% of Total Deaths,year,pct_total_deaths,deaths,population,crude_100k,county_id,state,county_code,CTYNAME,pop_merge_ind
0,,"Jefferson County, AL",1073.0,15-24 years,15-24,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,11.0,19306.0,Unreliable,0.027%,2014,0.027,11.0,19306.0,56.977105563,1073,AL,01073,Jefferson County,Jefferson County_2014
1,,"Jefferson County, AL",1073.0,25-34 years,25-34,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,16.0,23590.0,Unreliable,0.039%,2014,0.039,16.0,23590.0,67.8253497245,1073,AL,01073,Jefferson County,Jefferson County_2014
2,,"Jefferson County, AL",1073.0,25-34 years,25-34,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,27.0,22917.0,117.816,0.065%,2014,0.065,27.0,22917.0,117.816468124,1073,AL,01073,Jefferson County,Jefferson County_2014
3,,"Jefferson County, AL",1073.0,35-44 years,35-44,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,22.0,20774.0,105.902,0.053%,2014,0.053,22.0,20774.0,105.901607779,1073,AL,01073,Jefferson County,Jefferson County_2014
4,,"Jefferson County, AL",1073.0,35-44 years,35-44,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,26.0,21104.0,123.199,0.063%,2014,0.063,26.0,21104.0,123.19939348,1073,AL,01073,Jefferson County,Jefferson County_2014
5,,"Jefferson County, AL",1073.0,45-54 years,45-54,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,19.0,23482.0,Unreliable,0.046%,2014,0.046,19.0,23482.0,80.9130397751,1073,AL,01073,Jefferson County,Jefferson County_2014
6,,"Jefferson County, AL",1073.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,32.0,22839.0,140.111,0.078%,2014,0.078,32.0,22839.0,140.111213276,1073,AL,01073,Jefferson County,Jefferson County_2014
7,,"Jefferson County, AL",1073.0,55-64 years,55-64,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,12.0,25098.0,Unreliable,0.029%,2014,0.029,12.0,25098.0,47.8125747071,1073,AL,01073,Jefferson County,Jefferson County_2014
8,,"Jefferson County, AL",1073.0,55-64 years,55-64,Male,M,Black or African American,2054-5,Not Hispanic or Latino,2186-2,10.0,15872.0,Unreliable,0.024%,2014,0.024,10.0,15872.0,63.0040322581,1073,AL,01073,Jefferson County,Jefferson County_2014
9,,"Jefferson County, AL",1073.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,33.0,23237.0,142.015,0.080%,2014,0.08,33.0,23237.0,142.014890046,1073,AL,01073,Jefferson County,Jefferson County_2014
10,,"Madison County, AL",1089.0,35-44 years,35-44,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,10.0,13907.0,Unreliable,0.024%,2014,0.024,10.0,13907.0,71.9062342705,1089,AL,01089,Madison County,Madison County_2014
11,,"Mobile County, AL",1097.0,35-44 years,35-44,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,11.0,14645.0,Unreliable,0.027%,2014,0.027,11.0,14645.0,75.1109593718,1097,AL,01097,Mobile County,Mobile County_2014
12,,"Mobile County, AL",1097.0,45-54 years,45-54,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,10.0,17090.0,Unreliable,0.024%,2014,0.024,10.0,17090.0,58.5137507314,1097,AL,01097,Mobile County,Mobile County_2014
13,,"Mobile County, AL",1097.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,10.0,16458.0,Unreliable,0.024%,2014,0.024,10.0,16458.0,60.7607242678,1097,AL,01097,Mobile County,Mobile County_2014
14,,"Mobile County, AL",1097.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,20.0,16682.0,119.890,0.048%,2014,0.048,20.0,16682.0,119.889701475,1097,AL,01097,Mobile County,Mobile County_2014
15,,"Anchorage Borough, AK",2020.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,12.0,13800.0,Unreliable,0.029%,2014,0.029,12.0,13800.0,86.9565217391,2020,AK,02020,Anchorage Borough,Anchorage Borough_2014
16,,"Anchorage Borough, AK",2020.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,12.0,13377.0,Unreliable,0.029%,2014,0.029,12.0,13377.0,89.7062121552,2020,AK,02020,Anchorage Borough,Anchorage Borough_2014
17,,"Maricopa County, AZ",4013.0,15-24 years,15-24,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,10.0,128412.0,Unreliable,0.024%,2014,0.024,10.0,128412.0,7.78743419618,4013,AZ,04013,Maricopa County,Maricopa County_2014
18,,"Maricopa County, AZ",4013.0,15-24 years,15-24,Male,M,White,2106-3,Hispanic or Latino,2135-2,14.0,105472.0,Unreliable,0.034%,2014,0.034,14.0,105472.0,13.2736650485,4013,AZ,04013,Maricopa County,Maricopa County_2014
19,,"Maricopa County, AZ",4013.0,15-24 years,15-24,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,20.0,134544.0,14.865,0.048%,2014,0.048,20.0,134544.0,14.8650255678,4013,AZ,04013,Maricopa County,Maricopa County_2014
20,,"Maricopa County, AZ",4013.0,25-34 years,25-34,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,32.0,149601.0,21.390,0.078%,2014,0.078,32.0,149601.0,21.3902313487,4013,AZ,04013,Maricopa County,Maricopa County_2014
21,,"Maricopa County, AZ",4013.0,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-2,10.0,6564.0,Unreliable,0.024%,2014,0.024,10.0,6564.0,152.346130408,4013,AZ,04013,Maricopa County,Maricopa County_2014
22,,"Maricopa County, AZ",4013.0,25-34 years,25-34,Male,M,White,2106-3,Hispanic or Latino,2135-2,22.0,89859.0,24.483,0.053%,2014,0.053,22.0,89859.0,24.4828008324,4013,AZ,04013,Maricopa County,Maricopa County_2014
23,,"Maricopa County, AZ",4013.0,25-34 years,25-34,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,71.0,154537.0,45.944,0.172%,2014,0.172,71.0,154537.0,45.9436898607,4013,AZ,04013,Maricopa County,Maricopa County_2014
24,,"Maricopa County, AZ",4013.0,35-44 years,35-44,Female,F,White,2106-3,Hispanic or Latino,2135-2,10.0,82259.0,Unreliable,0.024%,2014,0.024,10.0,82259.0,12.1567244922,4013,AZ,04013,Maricopa County,Maricopa County_2014
25,,"Maricopa County, AZ",4013.0,35-44 years,35-44,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,47.0,145963.0,32.200,0.114%,2014,0.114,47.0,145963.0,32.199941081,4013,AZ,04013,Maricopa County,Maricopa County_2014
26,,"Maricopa County, AZ",4013.0,35-44 years,35-44,Male,M,White,2106-3,Hispanic or Latino,2135-2,32.0,80350.0,39.826,0.078%,2014,0.078,32.0,80350.0,39.82576229,4013,AZ,04013,Maricopa County,Maricopa County_2014
27,,"Maricopa County, AZ",4013.0,35-44 years,35-44,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,98.0,148059.0,66.190,0.237%,2014,0.237,98.0,148059.0,66.18982973,4013,AZ,04013,Maricopa County,Maricopa County_2014
28,,"Maricopa County, AZ",4013.0,45-54 years,45-54,Female,F,Black or African American,2054-5,Not Hispanic or Latino,2186-2,10.0,13665.0,Unreliable,0.024%,2014,0.024,10.0,13665.0,73.1796560556,4013,AZ,04013,Maricopa County,Maricopa County_2014
29,,"Maricopa County, AZ",4013.0,45-54 years,45-54,Female,F,White,2106-3,Hispanic or Latino,2135-2,12.0,61483.0,Unreliable,0.029%,2014,0.029,12.0,61483.0,19.5175902282,4013,AZ,04013,Maricopa County,Maricopa County_2014
30,,"Maricopa County, AZ",4013.0,45-54 years,45-54,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,88.0,169388.0,51.952,0.213%,2014,0.213,88.0,169388.0,51.951732118,4013,AZ,04013,Maricopa County,Maricopa County_2014
31,,"Maricopa County, AZ",4013.0,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-2,16.0,3624.0,Unreliable,0.039%,2014,0.039,16.0,3624.0,441.501103753,4013,AZ,04013,Maricopa County,Maricopa County_2014
32,,"Maricopa County, AZ",4013.0,45-54 years,45-54,Male,M,White,2106-3,Hispanic or Latino,2135-2,39.0,61817.0,63.089,0.094%,2014,0.094,39.0,61817.0,63.0894414158,4013,AZ,04013,Maricopa County,Maricopa County_2014
33,,"Maricopa County, AZ",4013.0,45-54 years,45-54,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,153.0,166911.0,91.666,0.371%,2014,0.371,153.0,166911.0,91.6656182037,4013,AZ,04013,Maricopa County,Maricopa County_2014
34,,"Maricopa County, AZ",4013.0,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-2,12.0,3093.0,Unreliable,0.029%,2014,0.029,12.0,3093.0,387.972841901,4013,AZ,04013,Maricopa County,Maricopa County_2014
35,,"Maricopa County, AZ",4013.0,55-64 years,55-64,Female,F,White,2106-3,Hispanic or Latino,2135-2,12.0,37029.0,Unreliable,0.029%,2014,0.029,12.0,37029.0,32.407032326,4013,AZ,04013,Maricopa County,Maricopa County_2014
36,,"Maricopa County, AZ",4013.0,55-64 years,55-64,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,116.0,174498.0,66.476,0.281%,2014,0.281,116.0,174498.0,66.4764066064,4013,AZ,04013,Maricopa County,Maricopa County_2014
37,,"Maricopa County, AZ",4013.0,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-2,12.0,2367.0,Unreliable,0.029%,2014,0.029,12.0,2367.0,506.970849176,4013,AZ,04013,Maricopa County,Maricopa County_2014
38,,"Maricopa County, AZ",4013.0,55-64 years,55-64,Male,M,White,2106-3,Hispanic or Latino,2135-2,36.0,34337.0,104.843,0.087%,2014,0.087,36.0,34337.0,104.843172088,4013,AZ,04013,Maricopa County,Maricopa County_2014
39,,"Maricopa County, AZ",4013.0,55-64 years,55-64,Male,M,White,2106-3,Not Hispanic or Latino,2186-2,147.0,159269.0,92.297,0.356%,2014,0.356,147.0,159269.0,92.2966804588,4013,AZ,04013,Maricopa County,Maricopa County_2014
40,,"Maricopa County, AZ",4013.0,65-74 years,65-74,Female,F,White,2106-3,Not Hispanic or Latino,2186-2,43.0,141824.0,30.319,0.104%,2014,0.104,43.0,141824.0,30.3192689531,4013,AZ,04013,Maricopa County,Maricopa County_2014
