,year,county_code,pov_count_tot,pov_rate_tot,pov_youth_count_0-17,pov_youth_rate_0-17,med_hh_income
0,2003,01001,4926.0,10.4,1891.0,15.1,44241.0
1,2003,01003,15753.0,10.1,5550.0,15.6,41961.0
2,2003,01005,5717.0,22.2,2083.0,30.5,26062.0
3,2003,01007,3383.0,16.8,1237.0,23.7,32924.0
4,2003,01009,6503.0,11.9,2272.0,17.3,37758.0
5,2003,01011,2569.0,26.5,881.0,32.6,20903.0
6,2003,01013,4118.0,20.0,1540.0,30.3,26951.0
7,2003,01015,18095.0,16.4,6250.0,24.5,33137.0
8,2003,01017,5725.0,16.3,2020.0,24.0,30844.0
9,2003,01019,3699.0,15.3,1267.0,23.9,32158.0
10,2003,01021,6159.0,14.9,2257.0,22.5,34201.0
11,2003,01023,2848.0,18.8,996.0,26.9,26829.0
12,2003,01025,5224.0,19.2,2010.0,27.6,28644.0
13,2003,01027,1947.0,14.0,630.0,20.2,29456.0
14,2003,01029,2008.0,14.0,703.0,21.3,32834.0
15,2003,01031,6091.0,13.7,2216.0,21.1,35739.0
16,2003,01033,7628.0,14.0,2692.0,21.8,33550.0
17,2003,01035,2966.0,22.1,1123.0,34.2,23726.0
18,2003,01037,1523.0,13.5,535.0,21.0,29801.0
19,2003,01039,6406.0,17.5,2183.0,26.5,28670.0
20,2003,01041,2372.0,17.6,856.0,26.9,28358.0
21,2003,01043,10445.0,13.3,3517.0,19.5,34056.0
22,2003,01045,7499.0,15.7,3058.0,23.5,32774.0
23,2003,01047,11221.0,25.2,4469.0,36.1,24456.0
24,2003,01049,10055.0,15.1,3627.0,22.6,31310.0
25,2003,01051,8233.0,12.4,3093.0,17.7,42687.0
26,2003,01053,6790.0,18.7,2291.0,25.9,28608.0
27,2003,01055,16034.0,15.7,5723.0,24.4,31512.0
28,2003,01057,2893.0,16.1,968.0,24.1,30216.0
29,2003,01059,5312.0,17.4,1899.0,25.7,28277.0
30,2003,01061,4482.0,17.6,1580.0,27.6,28040.0
