service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
JA2016-hjat1501-Weekday-01-0001000,20160121,20160616,0,0,0,1,0,0,0
JU2016-hjut1601-Weekday-01-0001000,20160623,20160826,0,0,0,1,0,0,0
JU2016-hjun1607-Sunday-01,20160619,20160821,0,0,0,0,0,0,1
JU2016-hun1601-Weekday-01,20160620,20160826,1,1,1,1,1,0,0
JU2016-hjum1607-Sunday-01,20160619,20160821,0,0,0,0,0,0,1
JU2016-hjum1601-Weekday-01,20160620,20160826,1,1,1,1,1,0,0
JA2016-han1501-Weekday-09,20160119,20160617,1,1,1,1,1,0,0
JA2016-hjam1506-Saturday-01,20160116,20160611,0,0,0,0,0,1,0
JA2016-hjan1507-Sunday-01,20160117,20160612,0,0,0,0,0,0,1
JA2016-hjaf1501-Weekday-01-0000100,20160122,20160617,0,0,0,0,1,0,0
JA2016-hjam1501-Weekday-01,20160119,20160617,1,1,1,1,1,0,0
JA2016-hjat1501-Weekday-01,20160121,20160616,1,1,1,1,1,0,0
JA2016-hjan1506-Saturday-01,20160116,20160611,0,0,0,0,0,1,0
JA2016-hjam1507-Sunday-01,20160117,20160612,0,0,0,0,0,0,1
JU2016-hjut1601-Weekday-01,20160623,20160826,1,1,1,1,1,0,0
JU2016-hjum1606-Saturday-01,20160618,20160820,0,0,0,0,0,1,0
JA2016-hjaf1501-Weekday-01,20160122,20160617,1,1,1,1,1,0,0
JU2016-hjun1606-Saturday-01,20160618,20160820,0,0,0,0,0,1,0
