block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_313090,55-58,0,PROVIDENCE,550029,JU2016-hun1601-Weekday-01,2282362-JU2016-hun1601-Weekday-01
b_313066,78-58,0,PROVIDENCE,780021,JU2016-hun1601-Weekday-01,2281853-JU2016-hun1601-Weekday-01
b_316443,11-58,1,BROAD STREET,110020,JU2016-hjun1606-Saturday-01,2309100-JU2016-hjun1606-Saturday-01
b_316445,11-58,1,BROAD STREET,110020,JU2016-hjun1606-Saturday-01,2309080-JU2016-hjun1606-Saturday-01
b_316424,54-58,1,WOONSOCKET,540072,JU2016-hjun1606-Saturday-01,2308898-JU2016-hjun1606-Saturday-01
b_313263,11-58,1,BROAD STREET,110020,JU2016-hjun1607-Sunday-01,2285511-JU2016-hjun1607-Sunday-01
b_312972,3-58,0,PROVIDENCE,30052,JU2016-hun1601-Weekday-01,2280287-JU2016-hun1601-Weekday-01
b_313010,40-58,1,BUTLER HOSPITAL,400012,JU2016-hun1601-Weekday-01,2280451-JU2016-hun1601-Weekday-01
b_312966,92-58,0,EASTSIDE MARKETPLACE via FOX POINT,920050,JU2016-hun1601-Weekday-01,2280216-JU2016-hun1601-Weekday-01
a_305981,20-57,0,PROVIDENCE,200045,JA2016-han1501-Weekday-09,2234472-JA2016-han1501-Weekday-09
b_316442,11-58,0,PAWTUCKET via NORTH MAIN,110023,JU2016-hjun1606-Saturday-01,2308999-JU2016-hjun1606-Saturday-01
a_302147,76-57,1,CENTRAL AVENUE,760002,JA2016-hjan1506-Saturday-01,2193145-JA2016-hjan1506-Saturday-01
a_301842,67-57,1,MARBLE HOUSE,670007,JA2016-hjam1501-Weekday-01,2188263-JA2016-hjam1501-Weekday-01
b_313086,33-58,0,PROVIDENCE,330014,JU2016-hun1601-Weekday-01,2282259-JU2016-hun1601-Weekday-01
b_313022,29-58,0,CONIMICUT (EASTBOUND),290052,JU2016-hun1601-Weekday-01,2279915-JU2016-hun1601-Weekday-01
b_316433,27-58,1,CENTERDALE via WOONASQUATUCKET,270069,JU2016-hjun1606-Saturday-01,2309179-JU2016-hjun1606-Saturday-01
b_313286,20-58,1,T. F. GREEN AIRPORT via ELMWOOD,200053,JU2016-hjun1607-Sunday-01,2285130-JU2016-hjun1607-Sunday-01
b_316437,50-58,1,DOUGLAS AVENUE,500018,JU2016-hjun1606-Saturday-01,2309277-JU2016-hjun1606-Saturday-01
b_316476,33-58,1,SHAW'S (WILLETT AVENUE - RIVERSIDE),330015,JU2016-hjun1606-Saturday-01,2309805-JU2016-hjun1606-Saturday-01
a_305984,20-57,0,PROVIDENCE,200042,JA2016-han1501-Weekday-09,2234279-JA2016-han1501-Weekday-09
a_305866,18-57,0,PROVIDENCE,180028,JA2016-han1501-Weekday-09,2232026-JA2016-han1501-Weekday-09
b_313244,54-58,0,PROVIDENCE,540070,JU2016-hjun1607-Sunday-01,2285186-JU2016-hjun1607-Sunday-01
b_316397,87-58,0,DOWNTOWN,870015_merged_950159,JU2016-hjun1606-Saturday-01,2308243-JU2016-hjun1606-Saturday-01
a_305913,11-57,1,BROAD STREET,110020,JA2016-han1501-Weekday-09,2232949-JA2016-han1501-Weekday-09
b_312926,63-58,0,GATEWAY,630033,JU2016-hjum1606-Saturday-01,2279608-JU2016-hjum1606-Saturday-01
a_302200,60-57,0,PROVIDENCE via EAST MAIN,600089,JA2016-hjan1507-Sunday-01,2194216-JA2016-hjan1507-Sunday-01
a_305917,50-57,0,PROVIDENCE,500016,JA2016-han1501-Weekday-09,2233276-JA2016-han1501-Weekday-09
b_316472,51-58,1,TWIN RIVER CASINO via CHARLES STREET,510032,JU2016-hjun1606-Saturday-01,2309763-JU2016-hjun1606-Saturday-01
a_305947,56-57,1,STOP&SHOP (MANTON AVENUE - PROVIDENCE),560030,JA2016-han1501-Weekday-09,2233585-JA2016-han1501-Weekday-09
b_313240,31-58,0,PROVIDENCE,310015,JU2016-hjun1607-Sunday-01,2284976-JU2016-hjun1607-Sunday-01
b_315103,34-58,1,EVERGREEN APARTMENTS,340013,JU2016-hun1601-Weekday-01,2280331-JU2016-hun1601-Weekday-01
b_315796,67-58,0,GATEWAY,670015,JU2016-hjum1607-Sunday-01,2300398-JU2016-hjum1607-Sunday-01
a_302205,28-57,0,PROVIDENCE,280022,JA2016-hjan1507-Sunday-01,2194479-JA2016-hjan1507-Sunday-01
b_312966,92-58,1,RHODE ISLAND COLLEGE via FEDERAL HILL,920036,JU2016-hun1601-Weekday-01,2280177-JU2016-hun1601-Weekday-01
b_316432,27-58,0,PROVIDENCE,270064_merged_950164,JU2016-hjun1606-Saturday-01,2309155-JU2016-hjun1606-Saturday-01
a_301834,60-57,1,NEWPORT via EAST MAIN,600077,JA2016-hjam1501-Weekday-01,2188176-JA2016-hjam1501-Weekday-01
a_302105,20-57,0,PROVIDENCE,200042,JA2016-hjan1506-Saturday-01,2192448-JA2016-hjan1506-Saturday-01
a_301835,63-57,0,GATEWAY,630033,JA2016-hjam1501-Weekday-01,2188228-JA2016-hjam1501-Weekday-01
b_313064,71-58,0,STOP&SHOP (MENDON ROAD - CUMBERLAND),710013,JU2016-hun1601-Weekday-01,2281819-JU2016-hun1601-Weekday-01
b_316403,3-58,0,PROVIDENCE,30052,JU2016-hjun1606-Saturday-01,2308359-JU2016-hjun1606-Saturday-01
a_301840,67-57,1,RUGGLES,670008,JA2016-hjam1501-Weekday-01,2188334-JA2016-hjam1501-Weekday-01
b_316403,3-58,1,OAKLAND BEACH via WARWICK AVENUE (3B),30057,JU2016-hjun1606-Saturday-01,2308345-JU2016-hjun1606-Saturday-01
