,revenue,zip
0,103.978301688,50002
1,118.743734414,50003
2,95.1664859509,50006
3,124.233964866,50009
4,125.836337611,50014
5,74.2909776352,50020
6,160.795147867,50021
7,122.203886248,50022
8,87.411443791,50025
9,103.095893766,50028
10,66.1922900996,50033
11,51.3376248615,50035
12,116.766086764,50036
13,141.41694821,50044
14,42.9131797951,50046
15,122.156923771,50047
16,113.545678519,50048
17,117.668124898,50049
18,70.4977999942,50054
19,130.448230518,50056
20,105.322488625,50058
21,79.83637191,50060
22,281.932851094,50061
23,92.7380958556,50069
24,179.854836739,50071
25,96.0019323698,50072
26,78.9202971326,50075
27,178.117060363,50076
28,113.240056977,50107
29,79.9868166133,50109
30,88.349497477,50111
31,83.1583386595,50112
32,71.0000118555,50115
33,64.6562065632,50122
34,67.7202447346,50123
35,135.178570197,50124
36,103.599036517,50125
37,137.167402468,50126
38,132.320193533,50129
39,69.5330994884,50130
40,80.7679846402,50131
41,51.1544828847,50135
42,78.4093755284,50138
43,79.5943869657,50140
44,42.1723580301,50142
45,90.4387158892,50144
46,68.7421737253,50156
47,128.190342542,50158
48,141.839175655,50160
49,141.41326799,50161
50,109.769956238,50162
51,70.5091623716,50170
52,85.2031986942,50171
53,62.2906518302,50201
54,128.911506492,50207
55,83.6686712872,50208
56,108.218160457,50210
57,134.074508792,50211
58,73.7832340617,50212
59,104.342372601,50213
60,94.4684493027,50216
61,131.208171315,50219
62,97.836162617,50220
63,62.6599839362,50225
64,105.190299681,50226
65,76.2025913401,50228
66,150.58334616,50240
67,88.8843604377,50244
68,37.2962976057,50247
69,85.3533708342,50248
70,75.9299685922,50249
71,88.6758955896,50250
72,156.846036872,50251
73,119.83442578,50261
74,132.250795956,50263
75,120.523599452,50265
76,108.426413884,50273
77,79.2989059082,50276
78,190.90242332,50311
79,122.843981585,50322
80,82.3007919466,50323
81,119.413228636,50325
82,118.652915185,50401
83,121.824871924,50421
84,91.3625451272,50423
85,65.3273594163,50424
86,110.745302697,50428
87,98.2386541114,50430
88,205.922139396,50435
89,106.911719764,50436
90,101.496088922,50438
91,76.8833333098,50441
92,97.6255014972,50450
93,149.815904252,50452
94,91.7159950683,50456
95,135.319537008,50458
96,93.5905600173,50459
97,54.1904647667,50461
98,87.4120355722,50466
99,53.163284937,50469
100,121.082423888,50472
101,135.439909859,50475
102,136.124214998,50501
103,130.508166435,50511
104,127.319748309,50514
105,116.853882406,50517
106,91.8765556275,50525
107,96.0482455068,50529
108,81.1943739063,50530
109,118.370095108,50533
110,96.8286198079,50535
111,79.524240825,50536
112,177.812718356,50540
113,129.391109686,50541
114,163.052139434,50542
115,74.2843782619,50543
116,140.359432236,50548
117,73.2555669345,50554
118,92.3608343456,50563
119,115.727290982,50569
120,106.748500999,50574
121,76.0552694709,50579
122,89.9632260275,50581
123,72.0501973654,50583
124,56.8078260378,50585
125,80.8826458189,50588
126,114.001420037,50590
127,92.9419421466,50595
128,163.407004493,50597
129,74.9491073433,50601
130,77.5576032717,50602
131,46.4061475672,50606
132,114.091085524,50613
133,130.546624945,50616
134,116.885982383,50619
135,76.2913560318,50621
136,95.7695421078,50622
137,109.135262661,50627
138,153.488190103,50628
139,68.1836077089,50629
140,65.5387851767,50630
141,81.337501745,50634
142,63.8912500463,50635
143,53.4180344936,50636
144,76.0023228694,50638
145,128.033733832,50641
146,144.576702182,50643
147,102.054467146,50644
148,74.4396090584,50647
149,54.0024377111,50648
150,69.6367486961,50651
151,68.1655179238,50658
152,167.421304431,50659
153,175.380981159,50662
154,158.614722591,50665
155,61.7578886569,50667
156,124.077639116,50669
157,48.6660748576,50674
158,83.787674436,50675
159,70.8131517772,50676
160,123.018136108,50677
161,136.941252882,50680
162,98.7712062788,50682
163,163.935565769,50702
164,118.445130511,50707
165,105.623371426,50801
166,211.261369625,50830
167,50.2638845463,50833
168,60.0125798844,50841
169,135.509702373,50846
170,96.3202584297,50849
171,62.5272348763,50851
172,85.9155668163,50854
173,115.88856614,50864
174,83.8448961247,51001
175,134.86666444,51002
176,63.8697765919,51004
177,146.550784431,51005
178,104.250098068,51012
179,87.6548412285,51023
180,90.5269952203,51025
181,74.4551122717,51027
182,129.486499414,51028
183,113.251269171,51031
184,75.2724432456,51034
185,67.7831792463,51035
186,72.0469963502,51038
187,56.2715580554,51040
188,177.602455124,51041
189,99.3684702783,51046
190,95.7698517635,51050
191,68.4397659498,51054
192,83.5244070587,51055
193,126.171099843,51058
194,105.665542314,51104
195,85.7104779077,51109
196,100.868033206,51201
197,49.4267352771,51237
198,73.1354893542,51238
199,68.7247565561,51240
200,85.5091776797,51241
201,79.580497687,51245
202,88.744147919,51246
203,122.766428345,51247
204,51.8126096239,51248
205,97.5091284047,51249
206,130.38300755,51250
207,95.9699339822,51301
208,79.4801685592,51331
209,101.363076987,51334
210,112.353530556,51338
211,61.9806452429,51342
212,59.8526843051,51346
213,149.1318997,51347
214,130.355346198,51351
215,85.7378621678,51355
216,90.0827748944,51358
217,144.354467899,51360
218,170.905877678,51401
219,157.535653165,51442
220,59.4352497077,51443
221,166.982825894,51445
222,111.456726437,51449
223,101.569317313,51450
224,149.237036033,51453
225,56.6461726406,51455
226,70.4544567442,51461
227,92.9349247334,51462
228,168.699082632,51466
229,122.430058274,51503
230,83.6383713659,51510
231,95.0990697791,51521
232,115.228458674,51526
233,73.3813960023,51530
234,108.349825259,51534
235,96.5464378699,51537
236,84.1457198305,51546
237,112.9735462,51551
238,102.771358239,51553
239,55.4017279262,51555
240,72.0705455709,51559
241,68.3203672001,51560
242,113.398195844,51561
243,95.8841326972,51566
244,101.301402532,51575
245,95.3823614848,51577
246,48.9205010371,51579
247,112.122392125,51601
248,84.8475243714,51632
249,100.287151684,51640
250,138.935053399,52001
251,161.443205944,52002
252,118.873427886,52031
253,121.129426272,52033
254,216.549411881,52036
255,88.7886103108,52037
256,112.258111793,52040
257,78.1866921312,52042
258,77.1212313848,52043
259,118.388353128,52046
260,92.7502528241,52052
261,160.22623934,52053
262,187.207737413,52057
263,83.4608510469,52060
264,88.8990601571,52068
265,125.35590005,52076
266,93.2392318306,52079
267,125.866098061,52101
268,121.696956243,52136
269,193.390828346,52142
270,71.7226420398,52144
271,191.796036781,52146
272,74.421836322,52151
273,158.793391189,52154
