url,Reportdata number 1,Reportdata link 1,Reportdata link 1_link,Reportdata number 2,Reportdata link 2,Reportdata link 2_link,Reportdata number 3,Reportdata number 4,Reportdata number 5,
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,101,50009,http://zipatlas.com/us/ia/altoona/zip-50009.htm,"41.640625, -93.458835",Altoona,http://zipatlas.com/us/ia/altoona.htm,"12,008",406.63,"#8,763",407
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,102,51451,http://zipatlas.com/us/ia/lanesboro/zip-51451.htm,"42.184080, -94.695158",Lanesboro,http://zipatlas.com/us/ia/lanesboro.htm,148,401.19,"#8,801",401
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,103,52002,http://zipatlas.com/us/ia/dubuque/zip-52002.htm,"42.521344, -90.776310",Dubuque,http://zipatlas.com/us/ia/dubuque.htm,"11,539",400.73,"#8,806",401
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,104,50706,http://zipatlas.com/us/ia/waterloo/zip-50706.htm,"42.408728, -92.258971",Waterloo,http://zipatlas.com/us/ia/waterloo.htm,"1,035",395.19,"#8,843",395
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,105,51355,http://zipatlas.com/us/ia/okoboji/zip-51355.htm,"43.388189, -95.136678",Okoboji,http://zipatlas.com/us/ia/okoboji.htm,825,388.07,"#8,902",388
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,106,52302,http://zipatlas.com/us/ia/marion/zip-52302.htm,"42.063960, -91.562456",Marion,http://zipatlas.com/us/ia/marion.htm,"28,580",384.52,"#8,931",385
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,107,52071,http://zipatlas.com/us/ia/saint-donatus/zip-52071.htm,"42.362325, -90.541992",Saint Donatus,http://zipatlas.com/us/ia/saint-donatus.htm,140,380.03,"#8,980",380
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,108,50701,http://zipatlas.com/us/ia/waterloo/zip-50701.htm,"42.418058, -92.344590",,,"29,890",376.27,"#9,012",376
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,109,52036,http://zipatlas.com/us/ia/delaware/zip-52036.htm,"42.473210, -91.340719",Delaware,http://zipatlas.com/us/ia/delaware.htm,188,368.2,"#9,070",368
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,110,52749,http://zipatlas.com/us/ia/fruitland/zip-52749.htm,"41.349396, -91.130445",Fruitland,http://zipatlas.com/us/ia/fruitland.htm,782,357.93,"#9,150",358
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,111,51363,http://zipatlas.com/us/ia/superior/zip-51363.htm,"43.433689, -94.946743",Superior,http://zipatlas.com/us/ia/superior.htm,142,350.18,"#9,214",350
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,112,52328,http://zipatlas.com/us/ia/robins/zip-52328.htm,"42.075077, -91.665634",Robins,http://zipatlas.com/us/ia/robins.htm,"1,281",344.9,"#9,248",345
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,113,52345,http://zipatlas.com/us/ia/urbana/zip-52345.htm,"42.212901, -91.894116",Urbana,http://zipatlas.com/us/ia/urbana.htm,"1,035",329.17,"#9,387",329
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,114,52075,http://zipatlas.com/us/ia/springbrook/zip-52075.htm,"42.165709, -90.479397",Springbrook,http://zipatlas.com/us/ia/springbrook.htm,182,314.94,"#9,524",315
http://zipatlas.com/us/ia/zip-code-comparison/population-density.2.htm,115,50231,http://zipatlas.com/us/ia/randall/zip-50231.htm,"42.237439, -93.603867",Randall,http://zipatlas.com/us/ia/randall.htm,138,313.72,"#9,534",314
