Ranking,City,Price Index
1,"Palo Alto, California",277
2,"San Francisco, California",272
3,New York City,269
4,Washington D.C.,258
5,"Mountain View, California",257
6,"Honolulu, Hawaii",220
7,"Oakland, California",217
8,"Boston, Massachusetts",217
9,"San Jose, California",216
10,"Philadelphia, Pennsylvania",214
11,"Jersey City, New Jersey",214
12,"Los Angeles, California",212
13,"Chicago, Illinois",207
14,"Seattle, Washington",200
15,"Miami, Florida",196
16,"Santa Ana, California",196
17,"San Diego, California",194
18,"Walnut Creek, California",193
19,"Denver, Colorado",192
20,"Anchorage, Alaska",191
21,"Portland, Oregon",190
22,"Pittsburgh, Pennsylvania",184
23,"Hartford, Connecticut",184
24,"Baltimore, Maryland",184
25,"Minneapolis - St. Paul, Minnesota",182
26,"Fort Lauderdale, Florida",181
27,"Austin, Texas",179
28,"Sacramento, California",178
29,"Atlanta, Georgia",177
30,"Charleston, South Carolina",176
31,"Roanoke, Virginia",175
32,"Providence, Rhode Island",174
33,"New Orleans, Louisiana",174
34,"Scottsdale, Arizona",171
35,"Houston, Texas",170
36,"Dallas, Texas",169
37,"Nashville, Tennessee",169
38,"Orlando, Florida",169
39,"Vancouver, Washington",168
40,"Fort Worth, Texas",168
41,"Baton Rouge, Louisiana",168
42,"Charlotte, North Carolina",167
43,"Madison, Wisconsin",167
44,"Durham, North Carolina",166
45,"Virginia Beach, Virginia",165
46,"Cleveland, Ohio",164
47,"Detroit, Michigan",164
48,"Columbus, Ohio",163
49,"Riverside, California",162
50,"Las Vegas, Nevada",162
51,"Tampa, Florida",161
52,"Albany, New York",161
53,"St. Louis, Missouri",159
54,"Jacksonville, Florida",159
55,"Milwaukee, Wisconsin",158
56,"Salt Lake City, Utah",158
57,"Buffalo, New York",156
58,"Reno, Nevada",155
59,"Oklahoma City, Oklahoma",154
60,"Phoenix, Arizona",153
61,"Birmingham, Alabama",152
62,"Cincinnati, Ohio",152
63,"Jackson, Mississippi",152
64,"Des Moines, Iowa",151
65,"Raleigh, North Carolina",151
66,"Indianapolis, Indiana",150
67,"Lincoln, Nebraska",150
68,"Tyler, Texas",149
69,"Omaha, Nebraska",149
70,"Wichita, Kansas",149
71,"Rochester, New York",149
72,"Fresno, California",148
73,"Knoxville, Tennessee",148
74,"Greenville, South Carolina",147
75,"Kansas City, Missouri",146
76,"Tulsa, Oklahoma",146
77,"Flint, Michigan",143
78,"Little Rock, Arkansas",143
79,"Louisville, Kentucky",143
80,"Greensboro, North Carolina",140
81,"Albuquerque, New Mexico",140
82,"San Antonio, Texas",139
83,"Memphis, Tennessee",139
84,"Tucson, Arizona",137
85,"Boise, Idaho",135
86,"Fort Wayne, Indiana",135
