,company,description,location,salary,title,hourly_salary,monthly_salary,annual_salary
0,    Maine Health Management Coalition,"Understands mapping of data elements to analytic variables, sets data quality standards, and defines quality control processes for both MHMC and its data vendor...","Topsham, ME",,Senior Research Analyst,,,
1,"    Sensory, Inc","16-01 - Research Scientist – BOULDER, CO. As a Research Scientist within Sensory’s Vision Technologies team, you will have the opportunity to bring your...",United States,,Research Scientist [Exp. with Machine Learning & Computer Vision Tools],,,
2,"    Amazon Web Services, Inc.","Computer Science fundamentals in object-oriented design, data structures, high-performance computing and operating systems....",United States,,Software Development Engineer – New AWS Machine Learning- Relocation Opportunity,,,
3,    Xpandit,"
But, more than just a “Buzzword Guy”, we seek a curious Data Scientist in searching the Best Big Data Solutions....","Lisbon, ME",,Big Data Engineer,,,
4,    Etech Hi Inc.,"
Data analyst, data programmer, data scientists, analytic officer, data and analytics officer, business analytics, health analytics....","Brewer, ME",120000.0,Data Analyst II/III,,,120000.0
5,    Alere,"
Advanced knowledge of a variety of statistical procedures, e.g., nonparametric analysis, linear and non-linear models, categorical data, and survival analysis....","Scarborough, ME",,Statistician,,,
6,    Alere,"
Conducts and interprets data. Phases of a project for a more experienced scientist. Of diverse scope in which analysis of data requires evaluation of...","Scarborough, ME",,Scientist I (Research Assoc),,,
7,    Alere,"
Works in a multidisciplinary team with other scientists, chemists and technicians. Must conduct and interpret data and use applied judgment when deciding a...","Scarborough, ME",,Technical Manufacturing Chemist I,,,
8,    Department of the Navy,"
Evaluating exposure data, surveys, work practices and procedures. From pipefitters to accountants, scientists to engineers, doctors to nurses-the careers and...","Kittery, ME",82964.5,"PHYSICAL SCIENCE TECHNICIAN (INSTRUCTOR),",,,82964.5
9,    IDEXX Laboratories,"
Prepares materials, performs experiments, gathers data, carries out analysis and reaches conclusions. Outstanding opportunity to join an expanding, public, pet...","Westbrook, ME 04092",,Associate Scientist I,,,
10,    Maine Health Management Coalition,"
Understands mapping of data elements to analytic variables, sets data quality standards, and defines quality control processes for both MHMC and its data vendor...","Topsham, ME",,Senior Research Analyst,,,
11,    IDEXX Laboratories,"
Will interpret internally and externally generated data to develop issue detection tools to define problems and propose predictable solutions....","Westbrook, ME 04092",,Systems Engineer,,,
12,    IDEXX Laboratories,"
Seeking an Associate Scientist to join a group of 10 engineers and scientists working to characterize new assays as they are integrated onto diagnostic...","Westbrook, ME 04092",,Associate Scientist/Engineer – Systems Chemistry,,,
13,    U.S. Air Force,"Help Airman get the proper healthcare they need by providing precise, accurate lab data and conclusions while working with an elite medical team in state-of-the...",United States,,Biomedical Laboratory Officer,,,
14,    Amazon Corporate LLC,Are you interested in building data pipelines that process petabytes of customer behavior data? Strong grasp of data structures and algorithms....,United States,,"Software Development Engineer, Big Data- Relocation Opportunity",,,
16,"    MAINE MOLECULAR QUALITY CONTROLS, INC","
We are seeking an experienced scientist to assist with the design, development and validation of quality control products for molecular diagnostic tests...","Saco, ME 04072",,R&D Scientist II - Molecular Diagnostics,,,
19,    AdvancePierre Foods,"Lead multiple complex development projects using detailed investigations, well thought out experimental design, sound scientific techniques and data based...","Portland, ME",,"Food Scientist-Poultry Protein, Culinary Concepts Experience",,,
20,"    Ricerca Biosciences, LLC",Review data for technical content and regulatory compliance. Coordinate the timely and compliant generation of data to support client projects....,United States,,Analytical Scientist (LC-MSMS / NMR Small Molecule),,,
21,"    Sensory, Inc","15-02 - Research Scientist (Emerging Technology)""\*\**. In data analysis and utilization of machine learning techniques for solving pattern classification...",United States,,"Research Scientist-Emerging Technology [3 to 5 Yrs of Exp] Loc: Boulder, CO",,,
23,    Confidential,"Lead multiple complex development projects using detailed investigations, well thought out experimental design, sound scientific techniques and data based...","Portland, ME",,"Food Scientist-Poultry Protein, Culinary Concepts Experience - AdvancePierre Foods",,,
24,    Amazon Retail LLC,You should enjoy working closely with your peers in a group of very smart and talented engineers and scientists....,United States,,Sr. Product Manager - Forecasting- Relocation Opportunity,,,
25,"    Ricerca Biosciences, LLC",Review data for technical content and regulatory compliance. Coordinate the timely & compliant generation of data to support client projects....,United States,,"HPLC Method Development Scientist - Relocate to Concord, Ohio",,,
27,"    Audible, Inc.","Knowledge in machine learning, natural language processing, data mining, or information extraction. Build analytics platforms to process large volumes of...",United States,,"Software Development Engineer, SEO- Relocation Opportunity",,,
28,"    A2Z Development Center, Inc.","You have experience using data and metrics to back up assumptions and assertions of business value. As the Head of Products for Amazon’s Stations, you will work...",United States,,Principal Product Manager - Prime Music- Relocation Opportunity,,,
38,"    Amazon Web Services, Inc.","Computer Science fundamentals in object-oriented design, data structures, high-performance computing and GPGPU programming....",United States,,Software Development Engineer – Emerging AWS Machine Learning- Relocation Opportunity,,,
39,"    A2Z Development Center, Inc.","Strong communication and data presentation skills. We love data and we have lots of it. Establish scalable, efficient, automated processes for large-scale data...",United States,,Software Development Engineer- Relocation Opportunity,,,
41,    Amazon Corporate LLC,The Amazon Echo and Alexa organization is building speech and language solutions which will enhance user interactions with Amazon products and services. We,United States,,Sr. Software Development Engineer - Machine Learning and Speech [NLU Services]- Relocation Opportunity,,,
42,"    Amazon Web Services, Inc.","Computer Science fundamentals in object-oriented design, data structures, high-performance computing and GPGPU programming....",United States,,Sr. Software Development Engineer – Emerging AWS Machine Learning- Relocation Opportunity,,,
127,    Dept. Agriculture,"
Collaborating with scientists in other state and federal agencies, and universities on geologic investigations....","Augusta, ME",49628.5,SENIOR GEOLOGIST,,,49628.5
128,    Alere,"
Direct and oversee CRO activities including study management, site monitoring, data management and study master files as applicable....","Scarborough, ME",,"Director, Clinical Affairs Infectious Disease",,,
