,company,description,location,salary,title,hourly_salary,monthly_salary,annual_salary
0,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
1,"    RetailMeNot, Inc.","Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
2,    Atlantic Engineering Services,"
Data entry of mathematical analysis for wire attachments into set and standardized spreadsheets. Maintains project production needs for detailing Pole Data...","Austin, TX 78704 (South Lamar-South Congress area)",,Make Ready Engineering Specialist (data analysis and entry),,,
3,    Express Scripts,"
Mapping qualitative data to quantitative data. We are looking for a data scientist with a passion for user. Learning and data mining algorithm usage....","Austin, TX",,Senior Quantitative UX Researcher,,,
4,    Precision For Value,"
Administrative hospital data, Electronic health record data, Registry data (SEER, SEER-Medicare, etc.), Survey data (NHANES, MEPS, NHIS, HRS, etc.)....","Austin, TX",,"Research Scientist, Advanced Modeling",,,
5,    City of Austin,"
2 years experience in data statistical analysis. Please see the Duties, Functions and Responsibilities Section for Minimum Qualifications on this position....","Austin, TX",24.185,"MuniProg, Research Analyst (Temp) Paraprofessional",24.185,,
6,    Alcatel-Lucent,"
World-wide, our software helps service providers deliver a new generation of data services into a single, connected experience for their customers....","Austin, TX",,Software Developer Co-op,,,
7,    Worldwide Clinical Trials,"
Review data, recognize and report inconsistencies, and determine the cause and effect. Ability to report data and procedures orally and in writing and interface...","Austin, TX",,Automation Analyst,,,
8,    The University of Texas System,"
Assist in ongoing development of data warehouse to work in tandem of BI Suite, which includes data integration, data quality, data cleansing, and other Extract...","Austin, TX",4459.0,Institutional Research Analyst,,4459.0,
9,"    Gartner, Inc.","
Hypothesis formation and data identification. Define requirements and manage data sources. Implement data collection tags & analytics tools....","Austin, TX",,"Content Marketing Analyst, Gartner Research",,,
10,    University of Texas at Austin,"
Data analysis for space weather remediation. Demonstrated proficiency in software development and knowledge of statistical characterization data sets....","Austin, TX",5950.0,Engineering Scientist Associate - R and D Software Developer,,5950.0,
11,    Micron,"
Working knowledge of fundamental Computer Science algorithms and data structures. The Micron Storage Solutions Center in Austin, Texas, is looking for a few...","Austin, TX",,Principal Software Engineer Job,,,
12,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
13,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
