,company,description,location,salary,title,hourly_salary,monthly_salary,annual_salary
0,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
1,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
2,    MaxPoint,"Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX",,Senior Data Scientist,,,
3,    IBM,"
Creating and maintaining machine learning models with a focus on big data. Watson mirrors the same cognitive processes as humans with the ability to ingest...","Austin, TX",,Blue Spark - Watson Cognitive Software Engineer,,,
4,    IBM,"
Automatically find and interpret data rich sources, merge data together, ensure data consistency, and provide insights as a service....","Austin, TX",,Data Engineer / Data Scientist,,,
5,"    Samsung Austin Semiconductor, LLC","
Data Engineer position in the Data Science group which supports analysis activity in fully automated semiconductor manufacturing facility....","Austin, TX 78754",,Data Scientist,,,
6,    Samsung,"
Data Engineer position in the Data Science group which supports analysis activity in fully automated semiconductor manufacturing facility....","Austin, TX 78754",,Data Scientist,,,
7,    Amazon Corporate LLC,"
Strong grasp of data structures and algorithms. This person will work closely with software engineers, data engineers, and other Amazon research scientists to...","Austin, TX 78728",,Machine Learning Scientist,,,
8,    Dell,"
Data Scientist - Round Rock, TX. Strong familiarity and experience with data preparation and processing such as assessment of data quality, new variable...","Round Rock, TX 78664",,Data Scientist Round Rock TX,,,
9,    HomeAway,"
If so, then HomeAway has a Data Scientist role for you…. Really love data? Do you love data? These connections generate rich, diverse, and varied data:....","Austin, TX 78704 (South Lamar-South Congress area)",,Research Data Scientist,,,
10,    Intersys:Big Data And Application Development,"
Jr Data Scientist*. Jr Data Scientist Job Description*. The junior data scientist will contribute to the production of the eCommerce platform which combines a...","Austin, TX",,Jr Data Scientist,,,
11,    21CT,"
Deep learning, data mining, data fusion, machine learning, statistical analysis, natural language processing....","Austin, TX",,Research Scientist,,,
12,    Gallup,"
Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
13,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
14,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
15,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
16,    MaxPoint,"Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX",,Senior Data Scientist,,,
17,    Atlantic Engineering Services,"
Data entry of mathematical analysis for wire attachments into set and standardized spreadsheets. Maintains project production needs for detailing Pole Data...","Austin, TX 78704 (South Lamar-South Congress area)",,Make Ready Engineering Specialist (data analysis and entry),,,
18,    Express Scripts,"
Mapping qualitative data to quantitative data. We are looking for a data scientist with a passion for user. Learning and data mining algorithm usage....","Austin, TX",,Senior Quantitative UX Researcher,,,
19,    Precision For Value,"
Administrative hospital data, Electronic health record data, Registry data (SEER, SEER-Medicare, etc.), Survey data (NHANES, MEPS, NHIS, HRS, etc.)....","Austin, TX",,"Research Scientist, Advanced Modeling",,,
20,    City of Austin,"
2 years experience in data statistical analysis. Please see the Duties, Functions and Responsibilities Section for Minimum Qualifications on this position....","Austin, TX",24.185,"MuniProg, Research Analyst (Temp) Paraprofessional",24.185,,
21,    Alcatel-Lucent,"
World-wide, our software helps service providers deliver a new generation of data services into a single, connected experience for their customers....","Austin, TX",,Software Developer Co-op,,,
22,    Worldwide Clinical Trials,"
Review data, recognize and report inconsistencies, and determine the cause and effect. Ability to report data and procedures orally and in writing and interface...","Austin, TX",,Automation Analyst,,,
23,    The University of Texas System,"
Assist in ongoing development of data warehouse to work in tandem of BI Suite, which includes data integration, data quality, data cleansing, and other Extract...","Austin, TX",4459.0,Institutional Research Analyst,,4459.0,
24,"    Gartner, Inc.","
Hypothesis formation and data identification. Define requirements and manage data sources. Implement data collection tags & analytics tools....","Austin, TX",,"Content Marketing Analyst, Gartner Research",,,
25,    University of Texas at Austin,"
Data analysis for space weather remediation. Demonstrated proficiency in software development and knowledge of statistical characterization data sets....","Austin, TX",5950.0,Engineering Scientist Associate - R and D Software Developer,,5950.0,
26,    Micron,"
Working knowledge of fundamental Computer Science algorithms and data structures. The Micron Storage Solutions Center in Austin, Texas, is looking for a few...","Austin, TX",,Principal Software Engineer Job,,,
27,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
28,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
29,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
30,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
31,    MaxPoint,"Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX",,Senior Data Scientist,,,
32,    NVIDIA,"
Compiler Machine Learning Verification Engineer Do you visualize your future at NVIDIA? WE DO! We are now looking for a Compiler Machine Learning","Austin, TX",,Compiler Machine Learning Verification Engineer,,,
33,    BazaarVoice,"
You’ll extract key data and findings, define metrics, evaluate A/B tests, identify opportunities based on the data, and share new insights no one considered...","Austin, TX 78746",,Sr. UX Researcher,,,
34,"    Signature Science, LLC","
Quality Assurance Scientist - Summer Intern. The QA scientist will provide assistance in developing technical auditing and evaluation plans, supporting the...","Austin, TX 78759 (Arboretum area)",,Internship - Quality Assurance Scientist,,,
35,    IBM,"
Data analytics and modeling, data visualization, business acumen and strategy. The Data Scientist and Managing Strategy Consultant role is in our Worldwide...","Austin, TX",,Worldwide CoC Team –Data Scientist and Managing Strategy Consultant,,,
36,    NVIDIA,"
Experience in optimization, common CAD data structures and solvers, and/or data visualization is a plus. Help build an infrastructure for easily interfacing...","Austin, TX",,Machine Learning for VLSI CAD Engineer,,,
37,    Alcatel-Lucent,"
World-wide, our software helps service providers deliver a new generation of data services into a single, connected experience for their customers....","Austin, TX",,PMO CNO CXS Co-op,,,
38,    SmarterHQ,"
Experience working with data scientists a plus. Experience with data modeling techniques, as well as star schema;...","Austin, TX",,Junior Back-End Developer,,,
39,    Asuragen,"
Scientist I, Development*. Scientist I, Research and Technology Development*. Train assistant scientists and provide daily supervision as required....","Austin, TX",,Research Scientist,,,
40,"    RetailMeNot, Inc.","
Collaborate effectively with engineers, data scientists, product managers and other internal customers ....","Austin, TX",,Sr. Data Scientist,,,
41,    University of Texas at Austin,"
Investigate new applications of GPS/GNSS receiver data. Perform processing and detailed analysis of data collected by GPS/GNSS receivers....","Austin, TX",8541.5,Engineering Scientist - GNSS Analyst,,8541.5,
42,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
43,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
44,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
45,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
46,    MaxPoint,"Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX",,Senior Data Scientist,,,
47,    UT Health Science Center at Houston,"
Four (4) years of experience analyzing outcomes resulting from survey data, internal data, and external data....","Austin, TX",,Sr. Statistician - Austin,,,
48,    Texas Department of Public Safety,"
Develop plans, policies, and procedures for analyzing and interpreting statistical data. Work involves coordinating the planning, analysis, and presentation of...","Austin, TX",4714.0,"Statistician III-IV, HSOC, THP-Austin",,4714.0,
49,    Precision For Value,"
Experience in systematic reviews, designing, synthesizing data, interpreting results. Lead and manage multiple global HEOR projects from inception to delivery...","Austin, TX",,"Research Scientist, HEOR, Health Analytics",,,
50,    Lifetime Fitness,"
Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....","Austin, TX",,Ultimate Hoops Statistician,,,
51,    Environmental Defense Fund,"
As a Senior Data Analyst, you will play an instrumental role in working with an interdisciplinary team of scientists to conduct complex data analysis and...","Austin, TX",,Senior Data Analyst,,,
52,    City of Austin,"
Ability to gather and analyze data. Determines appropriate methodology, plans, designs, and test research instrumentation and evaluate data to assess...","Austin, TX",27.96,Corporate Research Analyst,27.96,,
53,    MaxPoint,"
Senior Data Scientist - Econometrics. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX 78759 (Arboretum area)",,Senior Data Scientist - Econometrics,,,
54,    C2 GPS- Capital Area Workforce,"
A Manager of Data Analysis and. The review and processing of data integrity (DINT) requests; Ad hoc reports using Infomaker or WIT SQL and/or other external...","Austin, TX",,"Manager of Data Analysis, Reporting and Quality Assurance",,,
55,    24 Seven Inc,"
A fun company in downtown Austin is looking for a JR QA associate for a 5 month temp assignment. The pay rate is $17.99/HR Description:  * Work with","Austin, TX",17.99,Junior Research/QA Analyst (Internet Product),17.99,,
56,    BlackLocus,"
Our people solve interesting, challenging problems while working closely with data scientists and business analysts....","Austin, TX 78701 (Downtown area)",,Software Engineer,,,
57,    Indeed,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain data dictionary for published data sources....,"Austin, TX",,Data Engineer,,,
58,    Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","Austin, TX",,Data Scientist – Predictive Analytics,,,
59,    Indeed,How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Can do small data modeling work:....,"Austin, TX",,Data Scientist,,,
60,    Sense Corp,Data analyst/data scientist role:. Perform data analysis and work with large volumes of data. Compile data from several different sources and determine...,"Austin, TX",,Data Scientist,,,
61,    MaxPoint,"Senior Data Scientist. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient....","Austin, TX",,Senior Data Scientist,,,
62,    Revionics,"
Hands-on data analysis experience and the ability to produce data visualizations to present complex data graphically (distributions, scatter plots, sensitivity...","Austin, TX",,Sr. Optimization Scientist,,,
63,    EMD,"
Assist with data and batch record review. The person in this role may provide guidance and leadership to other scientists within their group....","Round Rock, TX",,Senior Scientist,,,
64,    Merck KGaA,"
Assist with data and batch record review. The person in this role may provide guidance and leadership to other scientists within their group....","Round Rock, TX",,Senior Scientist,,,
65,    The HT Group,"
Data Scientist (SQL / Hadoop). What we are looking for in this Data Scientist:. Hiring Manager indicated they were looking for ""A Data Scientist who knows...","Austin, TX 78729",,Data Scientist (SQL/Hadoop),,,
